Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/login,31,31,180.0,226.68559677455755,145.9539999923436,626.018800001475,72.0,1.039073222877159,1.039073222877159,180,210,230,270,430,450,630,630,630,630,630
POST,/api/users,29,29,170.0,206.88255172391453,141.9710999907693,652.4224000022514,72.0,0.972036240756052,0.972036240756052,170,190,200,220,320,450,650,650,650,650,650
GET,/api/users?page=2,72,0,99,135.06070972188252,66.82829999772366,551.7624999920372,1088.0,2.4133313563598535,0.0,100,120,130,170,280,340,500,550,550,550,550
,Aggregated,132,60,150.0,172.35771666651777,66.82829999772366,652.4224000022514,626.1818181818181,4.424440819993064,2.011109463633211,150,170,190,210,300,450,550,630,650,650,650
